Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC,OTCCat
99,NA,0,NA,NA,0,8,0,18,All Rifle Seasons,0,14,40,5,0,13%,9,-7.536443801682123e-15,"2,818",    8,0%,39.99159590155056,-104.04173473502816,"1,803,504","    4,875",99 All Rifle Seasons,2.8,1050.2,https://webmap.onxmaps.com/hunt/map#9.45/39.9915959015506/-104.041734735028,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
100,NA,0,NA,NA,0,8,0,41,All Rifle Seasons,0,14,20,5,0,7%,9,-3.768221900841061e-15,"1,806",    0,0%,39.9648867835581,-103.29267847395892,"1,155,868",       85,100 All Rifle Seasons,4.4,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.9648867835581/-103.292678473959,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
101,NA,0,NA,NA,0,8,0,57,All Rifle Seasons,0,6,0,12,0,0%,9,-0,"1,167",    1,0%,39.96099801957773,-102.70577346133898,"  746,795",      730,101 All Rifle Seasons,6.9,7015.9,https://webmap.onxmaps.com/hunt/map#9.45/39.9609980195777/-102.705773461339,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
102,NA,0,NA,NA,0,8,0,36,All Rifle Seasons,0,20,0,17,0,0%,15,-0,"1,254",   18,1%,39.83585694795638,-102.39486222077728,"  802,632","   11,592",102 All Rifle Seasons,6.4,441.7,https://webmap.onxmaps.com/hunt/map#9.45/39.8358569479564/-102.394862220777,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
105,NA,74,NA,NA,138,335,41,2866,All Rifle Seasons,64,245,37,195,32,37%,258,4.499999999999996,"1,915",    5,0%,39.38538285547086,-104.19527510587795,"1,225,705","    3,465",105 All Rifle Seasons,174.9,61872.7,https://webmap.onxmaps.com/hunt/map#9.45/39.3853828554709/-104.195275105878,"EE000U1A,EE087U1A,EE087U5R,EE104W1R,EF104W1R,EF104W2R",OTCplainsR,Plains OTC Rifle Either Sex
106,NA,11,NA,NA,13,32,42,320,All Rifle Seasons,3,17,35,5,0,26%,18,20.999999999999996,"1,008",    0,0%,39.56098034023488,-103.8189244039493,"  645,161",        0,106 All Rifle Seasons,31.7,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.5609803402349/-103.818924403949,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
107,NA,0,NA,NA,0,13,0,82,All Rifle Seasons,0,8,0,12,0,0%,11,-0,"2,087",    2,0%,39.49649089220772,-103.2625069013074,"1,335,793","    1,090",107 All Rifle Seasons,6.2,7636,https://webmap.onxmaps.com/hunt/map#9.45/39.4964908922077/-103.262506901307,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
109,NA,0,NA,NA,0,3,0,3,All Rifle Seasons,0,6,0,5,0,0%,5,-0,"1,750",    1,0%,39.47460450202813,-102.48035045248704,"1,120,275",      475,109 All Rifle Seasons,1.7,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.4746045020281/-102.480350452487,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
110,NA,52,NA,NA,73,161,46,1458,All Rifle Seasons,22,90,31,139,40,39%,130,2.9999999999999947,"1,034",    1,0%,38.98829097404643,-104.54421321012386,"  661,623",      668,110 All Rifle Seasons,155.7,154317.7,https://webmap.onxmaps.com/hunt/map#9.45/38.9882909740464/-104.544213210124,"EE000U1A,EE087U1A,EE087U5R,EE104W1R,EF104W1R,EF104W2R",OTCplainsR,Plains OTC Rifle Either Sex
111,NA,3,NA,NA,3,21,13,237,All Rifle Seasons,0,14,20,24,20,18%,20,-3.5000000000000044,"1,141",    0,0%,39.00947835744555,-103.96016952409684,"  730,191",       66,111 All Rifle Seasons,18.4,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0094783574456/-103.960169524097,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
113,NA,0,NA,NA,0,5,0,31,All Rifle Seasons,0,3,0,5,0,0%,4,-0,  350,    6,2%,38.95147988789797,-103.35258967349426,"  223,953","    4,131",113 All Rifle Seasons,14.3,774.7,https://webmap.onxmaps.com/hunt/map#9.45/38.951479887898/-103.352589673494,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
114,NA,0,NA,NA,0,8,0,26,All Rifle Seasons,0,NA,NA,2,0,0%,5,0,  928,    0,0%,39.11174628426887,-103.23695991130477,"  594,144",        0,114 All Rifle Seasons,8.6,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.1117462842689/-103.236959911305,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
116,NA,0,NA,NA,0,5,0,438,All Rifle Seasons,0,14,40,10,0,13%,10,-7.536443801682123e-15,"1,598",    0,0%,39.06453077598625,-102.57408674407786,"1,022,639",        0,116 All Rifle Seasons,3.1,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0645307759862/-102.574086744078,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
118,NA,0,NA,NA,0,13,0,26,All Rifle Seasons,0,8,0,10,0,0%,10,-0,  827,   23,3%,38.71703080512228,-104.47671942847616,"  529,573","   14,809",118 All Rifle Seasons,15.7,561.8,https://webmap.onxmaps.com/hunt/map#9.45/38.7170308051223/-104.476719428476,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
119,NA,0,NA,NA,0,3,0,13,All Rifle Seasons,0,3,0,19,0,0%,8,-0,  966,    1,0%,38.68531835621947,-103.95220954291216,"  618,414",      898,119 All Rifle Seasons,3.1,2138.4,https://webmap.onxmaps.com/hunt/map#9.45/38.6853183562195/-103.952209542912,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
120,NA,0,NA,NA,0,3,0,8,All Rifle Seasons,0,3,0,5,0,0%,4,-0,  851,    6,1%,38.539826320344375,-103.60452673148224,"  544,536","    4,061",120 All Rifle Seasons,3.5,472.7,https://webmap.onxmaps.com/hunt/map#9.45/38.5398263203444/-103.604526731482,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
121,NA,5,NA,NA,5,10,50,46,All Rifle Seasons,0,6,0,3,100,50%,6,-25.00000000000001,"1,721",    1,0%,38.6207029639268,-103.18493263121891,"1,101,582",      661,121 All Rifle Seasons,5.8,9684.9,https://webmap.onxmaps.com/hunt/map#9.45/38.6207029639268/-103.184932631219,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
122,NA,3,NA,NA,3,6,40,42,All Rifle Seasons,0,8,0,2,0,13%,5,20.000000000000007,"1,620",    0,0%,38.64043436816621,-102.40206823412409,"1,036,989",        0,122 All Rifle Seasons,3.7,NA,https://webmap.onxmaps.com/hunt/map#9.45/38.6404343681662/-102.402068234124,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
123,NA,7,NA,NA,17,48,35,301,All Rifle Seasons,10,39,21,56,43,33%,48,-4.000000000000001,  889,   19,2%,38.42310389619845,-104.39958740546976,"  568,908","   11,938",123 All Rifle Seasons,54,2573.2,https://webmap.onxmaps.com/hunt/map#9.45/38.4231038961984/-104.39958740547,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
124,NA,0,NA,NA,0,3,0,21,All Rifle Seasons,0,3,0,32,23,8%,13,-11.500000000000005,"1,073",   10,1%,38.331987687425595,-103.95541383337492,"  687,027","    6,615",124 All Rifle Seasons,2.8,290.2,https://webmap.onxmaps.com/hunt/map#9.45/38.3319876874256/-103.955413833375,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
125,NA,0,NA,NA,5,36,14,160,All Rifle Seasons,6,39,7,15,20,14%,30,-3.0000000000000018,  926,  118,13%,38.1854357880318,-103.41612620445052,"  592,591","   75,432",125 All Rifle Seasons,38.9,305.4,https://webmap.onxmaps.com/hunt/map#9.45/38.1854357880318/-103.416126204451,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
126,NA,3,NA,NA,5,47,11,300,All Rifle Seasons,3,48,6,22,11,9%,39,-1.2560739669470205e-15,"1,097",   51,5%,38.28239961457108,-102.9450573215964,"  701,885","   32,930",126 All Rifle Seasons,42.9,913.5,https://webmap.onxmaps.com/hunt/map#9.45/38.2823996145711/-102.945057321596,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
127,NA,3,NA,NA,3,36,8,307,All Rifle Seasons,0,25,22,28,22,17%,30,-7.000000000000009,"1,554",   55,4%,38.27152496739178,-102.36734004526636,"  994,409","   35,178",127 All Rifle Seasons,23.2,654.9,https://webmap.onxmaps.com/hunt/map#9.45/38.2715249673918/-102.367340045266,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
129,NA,8,NA,NA,18,72,25,841,All Rifle Seasons,10,45,44,22,11,27%,46,6.999999999999994,  391,    1,0%,38.03068793491436,-103.87063779066746,"  250,386",      526,129 All Rifle Seasons,184,NA,https://webmap.onxmaps.com/hunt/map#9.45/38.0306879349144/-103.870637790667,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
130,NA,5,NA,NA,5,63,8,460,All Rifle Seasons,0,48,42,53,49,33%,55,-20.500000000000018,  779,   63,8%,37.85291846877794,-103.32640631022493,"  498,242","   40,117",130 All Rifle Seasons,80.9,1005.1,https://webmap.onxmaps.com/hunt/map#9.45/37.8529184687779/-103.326406310225,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
132,NA,0,NA,NA,0,26,0,185,All Rifle Seasons,0,14,20,32,8,9%,24,-4.000000000000006,"1,311",   13,1%,37.890787821185306,-102.33405472848897,"  838,764","    8,192",132 All Rifle Seasons,19.8,2031.4,https://webmap.onxmaps.com/hunt/map#9.45/37.8907878211853/-102.334054728489,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
135,NA,15,NA,NA,26,178,14,979,All Rifle Seasons,10,204,12,166,17,14%,183,-1.5000000000000033,"1,189",  380,32%,37.78842899277512,-103.80693713572316,"  760,773","  243,316",135 All Rifle Seasons,149.7,468.2,https://webmap.onxmaps.com/hunt/map#9.45/37.7884289927751/-103.806937135723,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
136,NA,14,NA,NA,17,82,20,553,All Rifle Seasons,3,100,26,115,9,18%,99,5.499999999999997,  906,   57,6%,37.43809979394027,-103.50601797008127,"  579,521","   36,609",136 All Rifle Seasons,90.6,1433.5,https://webmap.onxmaps.com/hunt/map#9.45/37.4380997939403/-103.506017970081,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
137,NA,14,NA,NA,23,47,48,223,All Rifle Seasons,9,35,25,41,31,35%,41,8.499999999999996,  918,   83,9%,37.45000859320783,-103.13012193784876,"  587,674","   53,226",137 All Rifle Seasons,51.2,565.1,https://webmap.onxmaps.com/hunt/map#9.45/37.4500085932078/-103.130121937849,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
138,NA,0,NA,NA,0,3,0,3,All Rifle Seasons,0,3,0,5,55,18%,4,-27.500000000000007,  496,    1,0%,37.52478517090192,-102.78221259484,"  317,694",      517,138 All Rifle Seasons,6,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.5247851709019/-102.78221259484,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
139,NA,0,NA,NA,0,8,0,25,All Rifle Seasons,0,11,51,20,27,26%,13,-13.50000000000002,"1,908",   69,4%,37.424713360824114,-102.33311217156508,"1,221,155","   44,377",139 All Rifle Seasons,4.2,115.4,https://webmap.onxmaps.com/hunt/map#9.45/37.4247133608241/-102.333112171565,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
143,NA,40,NA,NA,67,140,48,1020,All Rifle Seasons,27,113,53,122,39,47%,125,4.499999999999993,"1,087",   43,4%,37.11660176899627,-103.44481928062228,"  695,925","   27,241",143 All Rifle Seasons,128.7,3289.1,https://webmap.onxmaps.com/hunt/map#9.45/37.1166017689963/-103.444819280622,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
144,NA,26,NA,NA,31,120,26,740,All Rifle Seasons,6,89,26,82,19,24%,97,3.499999999999997,"1,015",  342,34%,37.16773758466464,-102.82175021398324,"  649,764","  218,815",144 All Rifle Seasons,118.2,351,https://webmap.onxmaps.com/hunt/map#9.45/37.1677375846646/-102.821750213983,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
145,NA,0,NA,NA,12,20,61,58,All Rifle Seasons,12,35,35,34,25,40%,30,18,  486,   91,19%,37.07376545304124,-102.30369485023049,"  310,959","   58,099",145 All Rifle Seasons,41.2,220.3,https://webmap.onxmaps.com/hunt/map#9.45/37.0737654530412/-102.30369485023,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
146,NA,11,NA,NA,13,91,15,779,All Rifle Seasons,3,84,7,80,6,9%,85,4.500000000000001,"1,499",   30,2%,37.87119441250279,-102.89096637732196,"  959,077","   19,514",146 All Rifle Seasons,60.7,2984.6,https://webmap.onxmaps.com/hunt/map#9.45/37.8711944125028/-102.890966377322,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
147,NA,23,NA,NA,26,97,27,557,All Rifle Seasons,3,93,12,92,24,21%,94,1.4999999999999996,  512,   18,4%,37.31276051140567,-103.82325120783086,"  327,593","   11,831",147 All Rifle Seasons,189.5,5247.4,https://webmap.onxmaps.com/hunt/map#9.45/37.3127605114057/-103.823251207831,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
87,NA,0,NA,NA,0,7,0,27,All Archery Seasons,0,3,0,7,0,0%,6,-0,"1,950",  283,15%,40.78958518680631,-104.58813274660297,"1,248,233","  181,201",87 All Archery Seasons,3.6,24.7,https://webmap.onxmaps.com/hunt/map#9.45/40.7895851868063/-104.588132746603,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
89,NA,0,NA,NA,0,3,0,14,All Archery Seasons,0,4,0,3,0,0%,3,-0,"1,352",   59,4%,40.81542938295689,-103.40853194542626,"  865,193","   37,566",89 All Archery Seasons,2.2,51.1,https://webmap.onxmaps.com/hunt/map#9.45/40.8154293829569/-103.408531945426,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
91,NA,0,NA,NA,0,3,0,19,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  134,   24,18%,40.766819599110804,-102.96863268982088,"   85,614","   15,353",91 All Archery Seasons,22.4,125.1,https://webmap.onxmaps.com/hunt/map#9.45/40.7668195991108/-102.968632689821,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
92,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  101,    8,8%,40.93042706114952,-102.4504923234277,"   64,727","    5,084",92 All Archery Seasons,29.7,377.7,https://webmap.onxmaps.com/hunt/map#9.45/40.9304270611495/-102.450492323428,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
94,NA,0,NA,NA,0,7,0,44,All Archery Seasons,0,NA,NA,3,0,0%,5,0,"1,265",    1,0%,40.27818060061627,-104.81211908143526,"  809,651",      592,94 All Archery Seasons,5.5,NA,https://webmap.onxmaps.com/hunt/map#9.45/40.2781806006163/-104.812119081435,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
105,NA,0,NA,NA,0,3,0,13,All Archery Seasons,0,6,0,4,0,0%,4,-0,"1,915",    5,0%,39.38538285547086,-104.19527510587795,"1,225,705","    3,465",105 All Archery Seasons,1.6,554.1,https://webmap.onxmaps.com/hunt/map#9.45/39.3853828554709/-104.195275105878,"EE000U1A,EE087U1A,EE087U5R,EE104W1R,EF104W1R,EF104W2R",OTCAplains,Plains Either Sex OTC
111,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,"1,141",    0,0%,39.00947835744555,-103.96016952409684,"  730,191",       66,111 All Archery Seasons,2.6,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0094783574456/-103.960169524097,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
113,NA,0,NA,NA,0,3,0,34,All Archery Seasons,0,4,0,NA,NA,0%,4,0,  350,    6,2%,38.95147988789797,-103.35258967349426,"  223,953","    4,131",113 All Archery Seasons,8.6,464.8,https://webmap.onxmaps.com/hunt/map#9.45/38.951479887898/-103.352589673494,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
114,NA,3,NA,NA,3,3,100,34,All Archery Seasons,0,6,0,10,0,33%,6,50.00000000000002,  928,    0,0%,39.11174628426887,-103.23695991130477,"  594,144",        0,114 All Archery Seasons,3.2,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.1117462842689/-103.236959911305,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
115,NA,0,NA,NA,0,3,0,19,All Archery Seasons,0,NA,NA,3,0,0%,3,0,  599,    0,0%,39.02833659953873,-102.92526392344112,"  383,304",        0,115 All Archery Seasons,5,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0283365995387/-102.925263923441,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
116,NA,0,NA,NA,0,3,0,27,All Archery Seasons,0,4,0,NA,NA,0%,4,0,"1,598",    0,0%,39.06453077598625,-102.57408674407786,"1,022,639",        0,116 All Archery Seasons,1.9,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0645307759862/-102.574086744078,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
117,NA,0,NA,NA,0,6,0,45,All Archery Seasons,0,10,0,6,0,0%,7,-0,  746,    0,0%,39.064815886703094,-102.17788555291712,"  477,253",       63,117 All Archery Seasons,8,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0648158867031/-102.177885552917,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
118,NA,0,NA,NA,0,7,0,56,All Archery Seasons,0,13,0,4,0,0%,8,-0,  827,   23,3%,38.71703080512228,-104.47671942847616,"  529,573","   14,809",118 All Archery Seasons,8.5,302.5,https://webmap.onxmaps.com/hunt/map#9.45/38.7170308051223/-104.476719428476,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
128,NA,3,NA,NA,3,30,11,159,All Archery Seasons,0,34,0,36,15,9%,33,-2.0000000000000004,"1,996",   72,4%,37.97563885232004,-104.45088760496616,"1,277,696","   45,936",128 All Archery Seasons,15,418,https://webmap.onxmaps.com/hunt/map#9.45/37.97563885232/-104.450887604966,"EF128L1R,EE128O1M,EE000U1A,EE087U1A,EM128U5R",OTCAplains,Plains Either Sex OTC
130,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  779,   63,8%,37.85291846877794,-103.32640631022493,"  498,242","   40,117",130 All Archery Seasons,3.9,47.9,https://webmap.onxmaps.com/hunt/map#9.45/37.8529184687779/-103.326406310225,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
133,NA,7,NA,NA,7,24,29,123,All Archery Seasons,0,18,0,16,41,23%,19,-6.0000000000000036,  920,   30,3%,37.62023701702331,-104.44356098402986,"  588,528","   19,015",133 All Archery Seasons,26.1,807.8,https://webmap.onxmaps.com/hunt/map#9.45/37.6202370170233/-104.44356098403,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplains,Plains Either Sex OTC
134,NA,3,NA,NA,7,10,67,100,All Archery Seasons,3,7,50,15,0,39%,11,33.50000000000001,  632,    4,1%,37.455709017216144,-104.30938640767955,"  404,550","    2,726",134 All Archery Seasons,15.8,2347.7,https://webmap.onxmaps.com/hunt/map#9.45/37.4557090172161/-104.30938640768,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplains,Plains Either Sex OTC
135,NA,0,NA,NA,0,10,0,27,All Archery Seasons,0,3,0,NA,NA,0%,6,0,"1,189",  380,32%,37.78842899277512,-103.80693713572316,"  760,773","  243,316",135 All Archery Seasons,8.4,26.3,https://webmap.onxmaps.com/hunt/map#9.45/37.7884289927751/-103.806937135723,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
136,NA,0,NA,NA,0,3,0,6,All Archery Seasons,0,NA,NA,4,0,0%,4,0,  906,   57,6%,37.43809979394027,-103.50601797008127,"  579,521","   36,609",136 All Archery Seasons,3.3,52.4,https://webmap.onxmaps.com/hunt/map#9.45/37.4380997939403/-103.506017970081,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
137,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,3,100,50%,3,-49.999999999999986,  918,   83,9%,37.45000859320783,-103.13012193784876,"  587,674","   53,226",137 All Archery Seasons,3.3,36.1,https://webmap.onxmaps.com/hunt/map#9.45/37.4500085932078/-103.130121937849,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
141,NA,3,NA,NA,7,20,33,119,All Archery Seasons,3,11,33,12,0,22%,14,16.5,  378,    1,0%,37.29565413878794,-104.14405079302742,"  241,723",      594,141 All Archery Seasons,53,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.2956541387879/-104.144050793027,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplains,Plains Either Sex OTC
142,NA,0,NA,NA,0,10,0,37,All Archery Seasons,0,46,0,8,0,0%,21,-0,  586,    1,0%,37.49722632165355,-103.91826853715182,"  375,065",      477,142 All Archery Seasons,17.1,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.4972263216535/-103.918268537152,"EF142L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplains,Plains Either Sex OTC
143,NA,0,NA,NA,0,3,0,27,All Archery Seasons,0,NA,NA,3,0,0%,3,0,"1,087",   43,4%,37.11660176899627,-103.44481928062228,"  695,925","   27,241",143 All Archery Seasons,2.8,70.5,https://webmap.onxmaps.com/hunt/map#9.45/37.1166017689963/-103.444819280622,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
147,NA,0,NA,NA,0,3,0,10,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  512,   18,4%,37.31276051140567,-103.82325120783086,"  327,593","   11,831",147 All Archery Seasons,5.9,162.3,https://webmap.onxmaps.com/hunt/map#9.45/37.3127605114057/-103.823251207831,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
951,NA,0,NA,NA,0,3,0,3,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,"1,560",   32,2%,40.41360121542092,-104.38359530149565,"  998,103","   20,723",951 All Archery Seasons,1.9,92.7,https://webmap.onxmaps.com/hunt/map#9.45/40.4136012154209/-104.383595301496,"EE000U1A,EE087U1A,EE087U5R",OTCAplains,Plains Either Sex OTC
133,NA,7,NA,NA,7,24,29,123,All Archery Seasons,0,18,0,16,41,23%,19,-6.0000000000000036,  920,   30,3%,37.62023701702331,-104.44356098402986,"  588,528","   19,015",133 All Archery Seasons,26.1,807.8,https://webmap.onxmaps.com/hunt/map#9.45/37.6202370170233/-104.44356098403,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplainsF,Plains Antlerless OTC
134,NA,3,NA,NA,7,10,67,100,All Archery Seasons,3,7,50,15,0,39%,11,33.50000000000001,  632,    4,1%,37.455709017216144,-104.30938640767955,"  404,550","    2,726",134 All Archery Seasons,15.8,2347.7,https://webmap.onxmaps.com/hunt/map#9.45/37.4557090172161/-104.30938640768,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplainsF,Plains Antlerless OTC
141,NA,3,NA,NA,7,20,33,119,All Archery Seasons,3,11,33,12,0,22%,14,16.5,  378,    1,0%,37.29565413878794,-104.14405079302742,"  241,723",      594,141 All Archery Seasons,53,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.2956541387879/-104.144050793027,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplainsF,Plains Antlerless OTC
142,NA,0,NA,NA,0,10,0,37,All Archery Seasons,0,46,0,8,0,0%,21,-0,  586,    1,0%,37.49722632165355,-103.91826853715182,"  375,065",      477,142 All Archery Seasons,17.1,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.4972263216535/-103.918268537152,"EF142L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAplainsF,Plains Antlerless OTC
