Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC,OTCCat
211,NA,79,NA,NA,79,347,23,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,448,10,552,25,19%,449,-0.9999999999999997,  743,  330,44%,40.29880865977781,-107.91969962140058,"  475,697","  210,889",211 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),466.9,1053.1,https://webmap.onxmaps.com/hunt/map#9.45/40.2988086597778/-107.919699621401,"EF211L1R,EM011O1R,EF011O1R,EE011O1M,EF011O1M,EF011O2R,EM011O2R,EM011O3R,EF011O3R,EM011O4R,EF011O4R,EE011P1R,EE011P1A,EF011P5R,EE000U1A,EM000U2R,EM000U3R,EE011V1A,EE011W1R,EF011W1R,EF011W3R,EE211W1R,EF211W1R",OTC3R,Third Season Antlered
214,NA,17,NA,NA,17,64,26,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,32,11,49,13,17%,48,6.500000000000003,  401,   90,22%,40.642251620729446,-107.00814944638188,"  256,679","   57,506",214 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),159.6,712.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6422516207294/-107.008149446382,"EF003O1R,EM214O1R,EE014O1M,EF014O1M,EM003O2R,EF214O2R,EM003O3R,EF214O3R,EM214O4R,EF214O4R,EE003P1R,EE003P1A,EF014P5R,EM000U2R,EM000U3R,EE014V1A,EF214W5R,EF441W2R,EE441W1R,EF441W1R,EF441W3R,EE214W2R,EF214W2R,EF214W4R,EE214W1R,EF214W1R,EF214W3R",OTC3R,Third Season Antlered
231,NA,0,NA,NA,0,44,0,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,103,3,119,11,5%,89,-5.500000000000003,  306,  194,63%,40.167070670182646,-107.09189663437051,"  195,650","  124,189",231 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),143.9,226.8,https://webmap.onxmaps.com/hunt/map#9.45/40.1670706701826/-107.091896634371,"EM011O1R,EF011O1R,EE025O1M,EF025O1M,EM011O2R,EF231O2R,EM011O3R,EF231O3R,EM231O4R,EF231O4R,EE011P1R,EE011P1A,EE231P2R,EE231P3R,EE231P4R,EF025P5R,EE000U1A,EM000U2R,EM000U3R,EE025V1A",OTC3R,Third Season Antlered
301,NA,8,NA,NA,8,139,6,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,295,0,445,20,9%,293,-7.000000000000006,  641,   82,13%,40.583051909491914,-107.68891866903346,"  410,309","   52,491",301 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),216.8,1694.8,https://webmap.onxmaps.com/hunt/map#9.45/40.5830519094919/-107.688918669033,"EF003L1R,EF003O1R,EM003O1R,EE003O1M,EF003O1M,EE003O1R,EM003O2R,EF003O2R,EM003O3R,EF003O3R,EM003O4R,EF003O4R,EE003O4R,EE003P1R,EE003P1A,EF003P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE003V1A,EF301W4R,EF441W2R,EF003W5R,EF004W5R,EE441W1R,EF441W1R,EF441W3R,EE214W2R,EF214W2R,EF214W4R,EE003W1R,EE003W3R,EF003W1R,EF003W3R,EE301W1R,EF301W1R,EF301W3R,EE301W2R,EF301W2R,EE004W1R,EE004W3R,EF004W1R,EF004W3R",OTC3R,Third Season Antlered
361,NA,3,NA,NA,3,54,6,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,32,0,39,8,5%,42,-1.0000000000000002,  141,  104,74%,39.89495921400766,-106.50344458857867,"   89,972","   66,513",361 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),384.1,519.6,https://webmap.onxmaps.com/hunt/map#9.45/39.8949592140077/-106.503444588579,"EF361L1R,EE035O1R,EF035O1R,EM035O1M,EF035O1M,EF036O2R,EF036O3R,EE036O4R,EF036O4R,EE035P1R,EF036P5R,EE000U1A,EM000U2R,EM000U3R,EE035V1A",OTC3R,Third Season Antlered
371,NA,18,NA,NA,18,99,18,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,103,3,68,5,9%,90,6.500000000000003,  291,  248,85%,39.702539987136355,-106.20568203677156,"  185,963","  158,930",371 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),340.7,398.7,https://webmap.onxmaps.com/hunt/map#9.45/39.7025399871364/-106.205682036772,"EE371O1R,EF371O1R,EE028O1M,EF028O1M,EF371O2R,EF371O3R,EE371O4R,EF371O4R,EE371P1R,EE028P1A,EE371P4R,EF371P5R,EE000U1A,EM000U2R,EM000U3R,EE028V1A",OTC3R,Third Season Antlered
411,NA,17,NA,NA,17,82,21,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,103,10,86,8,13%,90,6.499999999999998,  379,  234,62%,38.87365272060588,-108.0833378127964,"  242,806","  149,962",411 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),216.1,350,https://webmap.onxmaps.com/hunt/map#9.45/38.8736527206059/-108.083337812796,"EM041O1R,EF041O1R,EM041O1M,EF041O1M,EE052O1A,EF411O2R,EF411O3R,EM041O4R,EF411O4R,EE041P1R,EE052P1A,EE041P4R,EF411P5R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
421,NA,52,NA,NA,52,273,19,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,199,16,229,10,15%,234,4.499999999999999,  902,  593,66%,39.20112330396951,-107.87448947538192,"  576,978","  379,600",421 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),302.8,460.3,https://webmap.onxmaps.com/hunt/map#9.45/39.2011233039695/-107.874489475382,"EM041O1R,EF041O1R,EM041O1M,EF041O1M,EE041O1A,EF421O2R,EF421O3R,EM041O4R,EF421O4R,EE041P1R,EE041P1A,EE041P4R,EF421P5R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
431,NA,3,NA,NA,3,11,30,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,NA,NA,NA,NA,30%,11,NA,   NA,   NA,NA%,NA,NA,       NA,       NA,431 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),NA,NA,https://webmap.onxmaps.com/hunt/map#9.45/NA/NA,"EE043O1R,EF043O1R,EM043O1M,EF043O1M,EF043O2R,EF043O3R,EE043O4R,EF043O4R,EE043P1R,EF043P5R,EE000U1A,EM000U2R,EM000U3R,EE043V1A,EF043V1A",OTC3R,Third Season Antlered
441,NA,22,NA,NA,22,72,30,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,103,0,197,19,16%,124,5.500000000000003,  337,   95,28%,40.61143317401913,-107.21064341338534,"  215,919","   60,797",441 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),213.4,757.9,https://webmap.onxmaps.com/hunt/map#9.45/40.6114331740191/-107.210643413385,"EF003O1R,EM003O1R,EE004O1M,EF004O1M,EE004O1A,EE003O1R,EM003O2R,EF004O2R,EM003O3R,EF004O3R,EF003O4R,EM004O4R,EE003O4R,EE004O4R,EE003P1R,EE004P1M,EF004P1M,EE003P1A,EF003P5R,EM000U2R,EM000U3R,EF214W5R,EF441W2R,EE441W1R,EF441W1R,EF441W3R,EE214W2R,EF214W2R,EF214W4R,EE214W1R,EF214W1R,EF214W3R",OTC3R,Third Season Antlered
