Unit,Category,Bucks,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,UnitList,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTCCat,OTC
NA,All Season Choice,66,52,118,352,33,2645,403,17,NA,NA,25%,378,16.000000000000004,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice,NA,NA,NA,DP99999P,NA,NA
NA,All Season Choice,41,56,97,329,30,1978,382,15,NA,NA,22%,356,15.000000000000002,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice,NA,NA,NA,DP99999P,NA,NA
NA,All Season Choice,36,37,73,225,33,1091,234,28,NA,NA,30%,230,5.000000000000005,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA All Season Choice,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Archery,0,8,9,NA,NA,987,NA,NA,NA,NA,NaN%,NA,NA,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Archery,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Muzzleloader,0,2,2,NA,NA,235,NA,NA,NA,NA,NaN%,NA,NA,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Muzzleloader,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Rifle,30,29,58,NA,NA,1519,NA,NA,NA,NA,NaN%,NA,NA,"87, 88, 89, 90, 95",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Rifle,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Archery,2,4,7,NA,NA,681,NA,NA,NA,NA,NaN%,NA,NA,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Archery,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Muzzleloader,0,2,2,NA,NA,112,NA,NA,NA,NA,NaN%,NA,NA,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Muzzleloader,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Rifle,12,39,50,NA,NA,1449,NA,NA,NA,NA,NaN%,NA,NA,"93, 97, 98, 99, 100",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Rifle,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Archery,2,0,2,NA,NA,245,NA,NA,NA,NA,NaN%,NA,NA,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Archery,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Muzzleloader,0,0,0,NA,NA,33,NA,NA,NA,NA,NaN%,NA,NA,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Muzzleloader,NA,NA,NA,DP99999P,NA,NA
NA,Season Choice Rifle,29,33,62,NA,NA,799,NA,NA,NA,NA,NaN%,NA,NA,"101, 102",   NA,   NA,NA%,NA,NA,       NA,       NA,NA Season Choice Rifle,NA,NA,NA,DP99999P,NA,NA
1,All manners of take,9,0,9,15,63,71,12,79,16,94,79%,14,-15.500000000000021,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All manners of take,67.8,92.7,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,All Rifle,8,0,8,13,65,56,11,86,16,94,82%,13,-14.500000000000014,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Rifle,58.8,80.3,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,2nd Rifle Seasons,3,0,3,8,41,41,6,75,11,91,69%,8,-25.00000000000002,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 2nd Rifle Seasons,36.2,49.4,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,3rd Rifle Seasons,5,0,5,5,100,15,5,100,5,100,100%,5,-2.4613922385709626e-14,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 3rd Rifle Seasons,22.6,30.9,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,All Archery Seasons,0,0,0,1,0,8,NA,NA,NA,NA,0%,1,NA,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 All Archery Seasons,4.5,6.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,Either Sex Muzzleloader,1,0,1,1,100,7,1,0,NA,NA,50%,1,100.00000000000001,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Either Sex Muzzleloader,4.5,6.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,Antlered Muzzleloader,1,0,1,1,100,Not Reported,1,0,NA,NA,50%,1,100.00000000000001,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Antlered Muzzleloader,4.5,6.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,2nd season rifle Antlered (Does not include PLO),3,0,3,8,41,Not Reported,6,75,NA,91,69%,7,-25.00000000000002,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 2nd season rifle Antlered (Does not include PLO),36.2,49.4,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,3rd season rifle Antlered (Does not include PLO),5,0,5,5,100,Not Reported,5,100,NA,NA,100%,5,0,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 3rd season rifle Antlered (Does not include PLO),22.6,30.9,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,Antlerless Muzzleloader,0,101,101,0,0,Not Reported,0,0,NA,NA,0%,0,0,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,2nd season rifle Antlerless (Does not include PLO),0,49,49,0,0,Not Reported,0,0,0,0,0%,0,-0,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 2nd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
1,3rd season rifle Antlerless (Does not include PLO),0,105,105,0,0,Not Reported,0,0,NA,NA,0%,0,0,1,  221,  162,73%,40.696142107485095,-108.9841079233654,"  141,509","  103,577",1 3rd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.6961421074851/-108.984107923365,"DM001O1A,DM001O1M,DM001O2R,DM001O3R",NA,NA
2,All manners of take,32,0,32,54,59,271,53,57,44,86,67%,50,-13.500000000000014,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All manners of take,25.9,30.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,All Rifle,29,0,29,40,71,193,40,66,34,94,77%,38,-11.500000000000018,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Rifle,19.2,22.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,2nd Rifle Seasons,18,0,18,21,83,89,21,66,14,100,83%,19,-8.500000000000002,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 2nd Rifle Seasons,10.1,12,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,3rd Rifle Seasons,11,0,11,19,58,104,19,66,20,89,71%,19,-15.500000000000005,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 3rd Rifle Seasons,9.1,10.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,All Archery Seasons,0,0,0,7,0,43,7,33,4,46,26%,6,-23.000000000000018,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 All Archery Seasons,3.4,4,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,Either Sex Muzzleloader,4,0,4,7,51,35,6,28,6,75,51%,6,-12.000000000000007,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 Either Sex Muzzleloader,3.4,4,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,Antlered Muzzleloader,4,0,4,7,51,Not Reported,6,28,NA,75,51%,6,-12.000000000000007,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 Antlered Muzzleloader,3.4,4,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,2nd season rifle Antlered (Does not include PLO),18,0,18,21,83,Not Reported,21,66,NA,96,82%,21,-6.500000000000003,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 2nd season rifle Antlered (Does not include PLO),10.1,12,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,3rd season rifle Antlered (Does not include PLO),11,0,11,19,58,Not Reported,19,66,NA,NA,62%,19,-8.000000000000005,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 3rd season rifle Antlered (Does not include PLO),9.1,10.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,Antlerless Muzzleloader,0,58,58,0,0,Not Reported,0,0,0,0,0%,0,-0,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,2nd season rifle Antlerless (Does not include PLO),0,104,104,0,0,Not Reported,0,0,0,0,0%,0,-0,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 2nd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
2,3rd season rifle Antlerless (Does not include PLO),0,77,77,0,0,Not Reported,0,0,NA,NA,0%,0,0,2,"2,082","1,747",84%,40.74843738832308,-108.52102301461989,"1,332,524","1,118,255",2 3rd season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7484373883231/-108.52102301462,"DM002O1A,DM002O1M,DM002O2R,DM002O3R",NA,NA
3,All manners of take,450,35,486,867,56,3227,981,39,2278,69,55%,1375,-6.500000000000003,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All manners of take,587.4,1106.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,All Rifle,433,32,465,789,59,2895,901,40,2181,70,56%,1290,-5.500000000000006,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Rifle,534.6,1007,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,All Ranching For Wildlife Seasons,25,1,26,48,54,190,34,50,92,69,58%,58,-7.5000000000000036,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Ranching For Wildlife Seasons,32.5,61.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,2nd Rifle Seasons,150,11,161,280,58,949,343,41,775,71,57%,466,-6.5000000000000195,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 2nd Rifle Seasons,189.7,357.4,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,3rd Rifle Seasons,226,20,246,411,60,1589,492,38,1226,69,56%,710,-4.500000000000013,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 3rd Rifle Seasons,278.5,524.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,4th Rifle Seasons,32,0,32,50,64,166,32,63,89,70,66%,57,-3.000000000000019,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 4th Rifle Seasons,33.9,63.8,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,All Archery Seasons,3,3,7,49,14,240,67,16,71,53,28%,62,-19.500000000000014,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 All Archery Seasons,33.2,62.5,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,Either Sex Muzzleloader,14,0,14,30,47,92,13,37,25,33,39%,23,6.9999999999999964,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 Either Sex Muzzleloader,20.3,38.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,Antlered Muzzleloader,14,0,14,30,47,Not Reported,12,41,NA,32,40%,21,7.499999999999993,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 Antlered Muzzleloader,20.3,38.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,2nd season rifle Antlered (Does not include PLO),104,0,104,199,52,Not Reported,260,37,NA,64,51%,230,-6.000000000000008,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 2nd season rifle Antlered (Does not include PLO),134.8,254,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,3rd season rifle Antlered (Does not include PLO),157,0,157,272,58,Not Reported,388,30,NA,NA,44%,330,28.000000000000018,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 3rd season rifle Antlered (Does not include PLO),184.3,347.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,4th season rifle Antlered (Does not include PLO),20,0,20,28,71,Not Reported,NA,NA,NA,79,75%,28,-3.999999999999992,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 4th season rifle Antlered (Does not include PLO),19,35.7,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,Antlerless Muzzleloader,0,77,77,0,0,Not Reported,1,0,8,35,12%,3,-17.500000000000007,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 Antlerless Muzzleloader,0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,2nd season rifle Antlerless (Does not include PLO),0,251,251,8,100,Not Reported,9,100,141,83,94%,53,8.499999999999991,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 2nd season rifle Antlerless (Does not include PLO),5.4,10.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,3rd season rifle Antlerless (Does not include PLO),0,330,330,7,50,Not Reported,11,45,NA,NA,48%,9,5.000000000000001,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 3rd season rifle Antlerless (Does not include PLO),4.7,8.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
3,4th  season rifle Antlerless (Does not include PLO),0,99,99,0,0,Not Reported,NA,NA,0,0,0%,0,0,3,"1,476",  784,53%,40.76013691691813,-107.92800926200428,"  944,563","  501,450",3 4th  season rifle Antlerless (Does not include PLO),0,0,https://webmap.onxmaps.com/hunt/map#9.45/40.7601369169181/-107.928009262004,"DE003O1A,DE003P2R,DE003P3R,DE003P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003O2R,DF003O3R,DF003W1R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF301W2R,DF441W1R,DM003O1M,DM003O2R,DM003O3R,DM003O4R,DM003W1R,DM301W2R",NA,NA
4,All manners of take,347,36,384,678,57,2834,659,47,1703,64,56%,1013,-3.5000000000000044,4,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All manners of take,830.8,1823.6,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"DE003O1A,DE003P2R,DE003P3R,DE004P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003W1R,DF004O2R,DF004O3R,DF004P5A,DF004S4R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF441W1R,DM003O1M,DM003W1R,DM004O2R,DM004O3R,DM004O4R,DM004P5A",NA,NA
4,All Rifle,346,35,381,548,69,2165,533,56,1568,68,64%,883,0.49999999999999295,4,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All Rifle,671.5,1473.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"DE003O1A,DE003P2R,DE003P3R,DE004P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003W1R,DF004O2R,DF004O3R,DF004P5A,DF004S4R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF441W1R,DM003O1M,DM003W1R,DM004O2R,DM004O3R,DM004O4R,DM004P5A",NA,NA
4,All Ranching For Wildlife Seasons,34,6,40,48,83,123,55,82,114,85,83%,72,-1.000000000000018,4,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 All Ranching For Wildlife Seasons,58.8,129.1,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"DE003O1A,DE003P2R,DE003P3R,DE004P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003W1R,DF004O2R,DF004O3R,DF004P5A,DF004S4R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF441W1R,DM003O1M,DM003W1R,DM004O2R,DM004O3R,DM004O4R,DM004P5A",NA,NA
4,2nd Rifle Seasons,119,10,128,199,64,846,198,47,647,65,59%,348,-0.4999999999999967,4,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 2nd Rifle Seasons,243.8,535.2,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"DE003O1A,DE003P2R,DE003P3R,DE004P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003W1R,DF004O2R,DF004O3R,DF004P5A,DF004S4R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF441W1R,DM003O1M,DM003W1R,DM004O2R,DM004O3R,DM004O4R,DM004P5A",NA,NA
4,3rd Rifle Seasons,141,11,153,215,71,892,219,58,624,67,65%,353,1.9999999999999962,4,  816,  372,46%,40.78594452803292,-107.39991596865592,"  522,294","  237,951",4 3rd Rifle Seasons,263.5,578.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7859445280329/-107.399915968656,"DE003O1A,DE003P2R,DE003P3R,DE004P4R,DE004W1R,DE004W2R,DE004W3R,DE005W2R,DE214W2R,DE441W1R,DF003O1M,DF003W1R,DF004O2R,DF004O3R,DF004P5A,DF004S4R,DF004W1R,DF004W2R,DF004W3R,DF005W2R,DF214W2R,DF214W4R,DF441W1R,DM003O1M,DM003W1R,DM004O2R,DM004O3R,DM004O4R,DM004P5A",NA,NA
