Unit,CategoryOldHarv,BucksOldHarv,AntlerlessOldHarv,Total HarvestOldHarv,Total HuntersOldHarv,Percent SuccessOldHarv,Total Rec. DaysOldHarv,TH23OldHarv,PS23OldHarv,TH22OldHarv,PS22OldHarv,threeyearsuccessOldHarv,threeyearshuntersOldHarv,slopeOldHarv,UnitListOldHarv,gmu_area_sqmiOldHarv,public_sqmiOldHarv,percent_publicOldHarv,latitudeOldHarv,longitudeOldHarv,AcresOldHarv,Acres PublicOldHarv,harvestunitOldHarv,Hunters Density Per Sq. MileOldHarv,Hunters Density Per Public Sq. MileOldHarv,onxOldHarv,TagsOldHarv,OTCCat,OTCOldHarv,DAU,Total_Hunters_estimate,Total_Hunters_SE,Total_Hunters_LCL,Total_Hunters_UCL,Total_Harvest_estimate,Total_Harvest_SE,Total_Harvest_LCL,Total_Harvest_UCL,Success_DAU,Total_Days_estimate,SE,LCL,UCL,Sample_Rate,Response_Rate,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,Herd Name,Post Hunt Estimate,Buck/ Doe ratio (per 100),onx
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,894,14,867,922,342,16,312,374,0.38,4275,128,4032,4533,0.87,0.59,  555.67532,  286.5067755261,52%,40.59127558829043,-106.54270418428226,"  355,632.20","  183,364.33633670",North Park,5410,36,https://webmap.onxmaps.com/hunt/map#9.45/40.5912755882904/-106.542704184282
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,894,14,867,922,342,16,312,374,0.38,4275,128,4032,4533,0.87,0.59,  487.20581,  334.0805387468,69%,40.46855537653808,-106.31715842380244,"  311,811.72","  213,811.54479796",North Park,5410,36,https://webmap.onxmaps.com/hunt/map#9.45/40.4685553765381/-106.317158423802
161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,894,14,867,922,342,16,312,374,0.38,4275,128,4032,4533,0.87,0.59,  714.15324,  531.1398856256,74%,40.87823554952699,-106.5314186789568,"  457,058.07","  339,929.52680040",North Park,5410,36,https://webmap.onxmaps.com/hunt/map#9.45/40.878235549527/-106.531418678957
171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,894,14,867,922,342,16,312,374,0.38,4275,128,4032,4533,0.87,0.59,  444.00004,  338.7723402505,76%,40.51331220378768,-106.10143313372352,"  284,160.03","  216,814.29776029",North Park,5410,36,https://webmap.onxmaps.com/hunt/map#9.45/40.5133122037877/-106.101433133724
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4869,59,4755,4869,1419,67,1294,1556,0.29,22332,681,21036,23707,0.38,0.52,  425.34604,  371.8141949560,87%,40.81506446568107,-105.99136984657552,"  272,221.46","  237,961.08477187",Red Feather,12320,34,https://webmap.onxmaps.com/hunt/map#9.45/40.8150644656811/-105.991369846576
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4869,59,4755,4869,1419,67,1294,1556,0.29,22332,681,21036,23707,0.38,0.52,  766.73533,  586.4146205335,76%,40.85336261328245,-105.72469602241878,"  490,710.61","  375,305.35714144",Red Feather,12320,34,https://webmap.onxmaps.com/hunt/map#9.45/40.8533626132824/-105.724696022419
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4869,59,4755,4869,1419,67,1294,1556,0.29,22332,681,21036,23707,0.38,0.52,  676.28886,    3.2129985375,0%,40.843697728765896,-105.11358860737788,"  432,824.87","    2,056.31906402",Red Feather,12320,34,https://webmap.onxmaps.com/hunt/map#9.45/40.8436977287659/-105.113588607378
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4869,59,4755,4869,1419,67,1294,1556,0.29,22332,681,21036,23707,0.38,0.52,  734.85574,  457.5327380467,62%,40.60318759296001,-105.47282532050696,"  470,307.67","  292,820.95234988",Red Feather,12320,34,https://webmap.onxmaps.com/hunt/map#9.45/40.60318759296/-105.472825320507
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4869,59,4755,4869,1419,67,1294,1556,0.29,22332,681,21036,23707,0.38,0.52,  523.27878,  243.4964946084,47%,40.810669730771586,-105.3829276579241,"  334,898.42","  155,837.75654941",Red Feather,12320,34,https://webmap.onxmaps.com/hunt/map#9.45/40.8106697307716/-105.382927657924
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,717,12,694,741,268,14,243,296,0.37,3473,141,3207,3760,0.98,0.52,"1,950.36368",  283.1271100375,15%,40.78958518680631,-104.58813274660297,"1,248,232.76","  181,201.35042397",North Tablelands,1820,36,https://webmap.onxmaps.com/hunt/map#9.45/40.7895851868063/-104.588132746603
