Unit,CategoryOldHarv,BucksOldHarv,AntlerlessOldHarv,Total HarvestOldHarv,Total HuntersOldHarv,Percent SuccessOldHarv,Total Rec. DaysOldHarv,TH23OldHarv,PS23OldHarv,TH22OldHarv,PS22OldHarv,threeyearsuccessOldHarv,threeyearshuntersOldHarv,slopeOldHarv,UnitListOldHarv,gmu_area_sqmiOldHarv,public_sqmiOldHarv,percent_publicOldHarv,latitudeOldHarv,longitudeOldHarv,AcresOldHarv,Acres PublicOldHarv,harvestunitOldHarv,Hunters Density Per Sq. MileOldHarv,Hunters Density Per Public Sq. MileOldHarv,onxOldHarv,TagsOldHarv,OTCCat,OTCOldHarv,DAU,Total_Hunters_estimate,Total_Hunters_SE,Total_Hunters_LCL,Total_Hunters_UCL,Total_Harvest_estimate,Total_Harvest_SE,Total_Harvest_LCL,Total_Harvest_UCL,Success_DAU,Total_Days_estimate,SE,LCL,UCL,Sample_Rate,Response_Rate,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,Herd Name,Post Hunt Estimate,Buck/ Doe ratio (per 100),onx
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3449,53,3346,3449,1084,56,979,1200,0.31,16586,521,15596,17639,0.39,0.56,"1,130.26543",  764.5980756239,68%,39.9390718102676,-105.96096270574034,"  723,369.87","  489,342.76839928",Middle Park,8560,31,https://webmap.onxmaps.com/hunt/map#9.45/39.9390718102676/-105.96096270574
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3449,53,3346,3449,1084,56,979,1200,0.31,16586,521,15596,17639,0.39,0.56,  892.74925,  631.8010417592,71%,39.661674617570846,-106.12577248241035,"  571,359.52","  404,352.66672586",Middle Park,8560,31,https://webmap.onxmaps.com/hunt/map#9.45/39.6616746175708/-106.12577248241
181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3449,53,3346,3449,1084,56,979,1200,0.31,16586,521,15596,17639,0.39,0.56,  312.57939,  186.5879308550,60%,40.233714818332615,-106.3873715171488,"  200,050.81","  119,416.27574719",Middle Park,8560,31,https://webmap.onxmaps.com/hunt/map#9.45/40.2337148183326/-106.387371517149
371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3449,53,3346,3449,1084,56,979,1200,0.31,16586,521,15596,17639,0.39,0.56,  290.56785,  248.3274978613,85%,39.702539987136355,-106.20568203677156,"  185,963.43","  158,929.59863122",Middle Park,8560,31,https://webmap.onxmaps.com/hunt/map#9.45/39.7025399871364/-106.205682036772
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1858,S,1773,1946,826,51,732,932,0.44,11319,775,9899,12942,0.39,0.5,"2,078.46286",  532.9827614024,26%,40.32431847025685,-105.36216745333888,"1,330,216.23","  341,108.96729751",Big Thompson,8740,39,https://webmap.onxmaps.com/hunt/map#9.45/40.3243184702568/-105.362167453339
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,718,0,718,718,529,14,503,556,0.74,3265,80,3113,3425,0.71,0.58,"1,508.76582","1,325.9238402204",88%,39.85774449788705,-108.80289524752595,"  965,610.12","  848,591.25774107",Bookcliffs,7500,35,https://webmap.onxmaps.com/hunt/map#9.45/39.857744497887/-108.802895247526
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,718,0,718,718,529,14,503,556,0.74,3265,80,3113,3425,0.71,0.58,"1,451.29152","1,073.0245925232",74%,39.33317031774471,-108.77099754861048,"  928,826.57","  686,735.73921486",Bookcliffs,7500,35,https://webmap.onxmaps.com/hunt/map#9.45/39.3331703177447/-108.77099754861
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2473,29,2417,2473,1504,52,1405,1609,0.61,11638,402,10877,12453,0.45,0.57,  543.75226,  342.9743107095,63%,39.0231517885103,-108.2648771776802,"  348,001.45","  219,503.55885408",North Grand Mesa,16730,28,https://webmap.onxmaps.com/hunt/map#9.45/39.0231517885103/-108.26487717768
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2473,29,2417,2473,1504,52,1405,1609,0.61,11638,402,10877,12453,0.45,0.57,"1,014.92322",  559.8960086309,55%,39.398838621367666,-107.73962173709054,"  649,550.86","  358,333.44552377",North Grand Mesa,16730,28,https://webmap.onxmaps.com/hunt/map#9.45/39.3988386213677/-107.739621737091
421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2473,29,2417,2473,1504,52,1405,1609,0.61,11638,402,10877,12453,0.45,0.57,  901.52822,  593.1253212606,66%,39.20112330396951,-107.87448947538192,"  576,978.06","  379,600.20560680",North Grand Mesa,16730,28,https://webmap.onxmaps.com/hunt/map#9.45/39.2011233039695/-107.874489475382
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,964,4,956,971,441,21,403,484,0.46,4772,169,4451,5115,0.66,0.62,"1,244.26118",  908.4703088808,73%,39.22614533593483,-107.1376260233469,"  796,327.15","  581,420.99768371",Maroon Bells,5070,26,https://webmap.onxmaps.com/hunt/map#9.45/39.2261453359348/-107.137626023347
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,964,4,956,971,441,21,403,484,0.46,4772,169,4451,5115,0.66,0.62,  490.52821,  448.7485519557,91%,39.2521324446307,-106.72215457856792,"  313,938.06","  287,199.07325166",Maroon Bells,5070,26,https://webmap.onxmaps.com/hunt/map#9.45/39.2521324446307/-106.722154578568
471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,964,4,956,971,441,21,403,484,0.46,4772,169,4451,5115,0.66,0.62,  172.90778,  154.8488044486,90%,39.081094095283945,-106.7247845557572,"  110,660.98","   99,103.23484708",Maroon Bells,5070,26,https://webmap.onxmaps.com/hunt/map#9.45/39.0810940952839/-106.724784555757
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,317,5,307,328,163,8,148,181,0.51,1877,84,1719,2049,0.91,0.59,  634.83014,  500.0009521580,79%,39.55621270309135,-106.799104307543,"  406,291.29","  320,000.60938113",Brush Creek,2170,37,https://webmap.onxmaps.com/hunt/map#9.45/39.5562127030913/-106.799104307543
48,All Whitetail Only Rifle Seasons,0,0,0,12,0,41,14,33,18,0,11%,15,-5.024295867788082e-15,48,  499,  460,92%,39.13101881312801,-106.4305587690822,"  319,414","  294,257",48 All Whitetail Only Rifle Seasons,24,26.1,https://webmap.onxmaps.com/hunt/map#9.45/39.131018813128/-106.430558769082,"DM048E1R,DF048O1M,DM048O1M,DM048O1A,DM048O2R,DM048O3R,DE048U6R",Whitetail Only Late Rifle Season,WTOLR,15,1056,16,1025,1087,441,24,396,491,0.42,4936,175,4604,5291,0.73,0.56,  499.08458,  459.7770167324,92%,39.13101881312801,-106.4305587690822,"  319,414.13","  294,257.29070873",Cottonwood Creek,3230,23,https://webmap.onxmaps.com/hunt/map#9.45/39.131018813128/-106.430558769082
56,All Whitetail Only Rifle Seasons,0,0,0,2,0,12,2,0,7,71,24%,4,-35.50000000000001,56,  396,  278,70%,38.62932468007888,-106.20640250190934,"  253,680","  178,123",56 All Whitetail Only Rifle Seasons,5,7.2,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909,"DM048E1R,DF056L1R,DF048O1M,DM048O1M,DM048O1A,DM048O2R,DM048O3R,DF056P2R,DF056P3R,DE048U6R",Whitetail Only Late Rifle Season,WTOLR,15,1056,16,1025,1087,441,24,396,491,0.42,4936,175,4604,5291,0.73,0.56,  396.37536,  278.3164182378,70%,38.62932468007888,-106.20640250190934,"  253,680.23","  178,122.50767222",Cottonwood Creek,3230,23,https://webmap.onxmaps.com/hunt/map#9.45/38.6293246800789/-106.206402501909
481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whitetail Only Late Rifle Season,NA,15,1056,16,1025,1087,441,24,396,491,0.42,4936,175,4604,5291,0.73,0.56,  466.56047,  372.1714489769,80%,38.84880595939672,-106.27876705643126,"  298,598.70","  238,189.72734523",Cottonwood Creek,3230,23,https://webmap.onxmaps.com/hunt/map#9.45/38.8488059593967/-106.278767056431
561,All Whitetail Only Rifle Seasons,0,0,0,5,0,15,NA,NA,2,0,0%,4,0,561,  209,  190,91%,38.45644345118265,-106.19580722722652,"  133,739","  121,896",561 All Whitetail Only Rifle Seasons,23.9,26.3,https://webmap.onxmaps.com/hunt/map#9.45/38.4564434511827/-106.195807227227,"DM048E1R,DF048O1M,DM048O1M,DM048O1A,DM048O2R,DM048O3R,DE048U6R",Whitetail Only Late Rifle Season,WTOLR,15,1056,16,1025,1087,441,24,396,491,0.42,4936,175,4604,5291,0.73,0.56,  208.96689,  190.4628427125,91%,38.45644345118265,-106.19580722722652,"  133,738.81","  121,896.21933601",Cottonwood Creek,3230,23,https://webmap.onxmaps.com/hunt/map#9.45/38.4564434511827/-106.195807227227
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whitetail Only Late Rifle Season,NA,16,2179,43,2097,2265,1048,51,952,1154,0.48,8908,376,8201,9675,0.55,0.56,  895.50110,  645.0343122849,72%,39.12300822437607,-106.1422316323452,"  573,120.70","  412,821.95986234",Cripple Creek,10900,24,https://webmap.onxmaps.com/hunt/map#9.45/39.1230082243761/-106.142231632345
57,All Whitetail Only Rifle Seasons,0,2,2,2,100,17,NA,NA,NA,NA,100%,2,NA,57,  444,  330,74%,38.67754180525702,-105.94897257006104,"  284,135","  211,266",57 All Whitetail Only Rifle Seasons,4.5,6.1,https://webmap.onxmaps.com/hunt/map#9.45/38.677541805257/-105.948972570061,"DF056L1R,DF049O1M,DM049O1M,DE049O1A,DF049O2R,DM049O2R,DF049O3R,DM049O3R,DF049P2R,DF049P3R,DE048U6R",Whitetail Only Late Rifle Season,WTOLR,16,2179,43,2097,2265,1048,51,952,1154,0.48,8908,376,8201,9675,0.55,0.56,  443.96111,  330.1038599531,74%,38.67754180525702,-105.94897257006104,"  284,135.11","  211,266.47037001",Cripple Creek,10900,24,https://webmap.onxmaps.com/hunt/map#9.45/38.677541805257/-105.948972570061
58,All Whitetail Only Rifle Seasons,0,0,0,2,0,2,5,0,8,33,11%,5,-16.500000000000004,58,"1,438",  673,47%,38.70213904844839,-105.67748537120043,"  920,615","  431,034",58 All Whitetail Only Rifle Seasons,1.4,3,https://webmap.onxmaps.com/hunt/map#9.45/38.7021390484484/-105.6774853712,"DF049O1M,DM049O1M,DE049O1A,DF058O2R,DM049O2R,DF058O3R,DM049O3R,DE048U6R",Whitetail Only Late Rifle Season,WTOLR,16,2179,43,2097,2265,1048,51,952,1154,0.48,8908,376,8201,9675,0.55,0.56,"1,438.46050",  673.4901905340,47%,38.70213904844839,-105.67748537120043,"  920,614.72","  431,033.72194178",Cripple Creek,10900,24,https://webmap.onxmaps.com/hunt/map#9.45/38.7021390484484/-105.6774853712
581,All Whitetail Only Rifle Seasons,0,2,2,22,11,46,7,0,10,75,29%,13,-32.000000000000014,581,"1,134",  447,39%,38.75502221909619,-105.33209374010389,"  725,721","  286,068",581 All Whitetail Only Rifle Seasons,19.4,49.2,https://webmap.onxmaps.com/hunt/map#9.45/38.7550222190962/-105.332093740104,"DF069L1R,DF049O1M,DM049O1M,DE049O1A,DF058O2R,DM049O2R,DF058O3R,DM049O3R,DE048U6R",Whitetail Only Late Rifle Season,WTOLR,16,2179,43,2097,2265,1048,51,952,1154,0.48,8908,376,8201,9675,0.55,0.56,"1,133.93874",  446.9806636563,39%,38.75502221909619,-105.33209374010389,"  725,720.80","  286,067.62474004",Cripple Creek,10900,24,https://webmap.onxmaps.com/hunt/map#9.45/38.7550222190962/-105.332093740104
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1675,14,1647,1704,780,31,723,842,0.47,9850,441,9022,10753,0.63,0.54,  623.52754,  397.9442572103,64%,39.664234970747984,-105.60052344542224,"  399,057.63","  254,684.32461459",Bailey,5750,28,https://webmap.onxmaps.com/hunt/map#9.45/39.664234970748/-105.600523445422
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1675,14,1647,1704,780,31,723,842,0.47,9850,441,9022,10753,0.63,0.54,  358.63794,  274.0159826547,76%,39.510815615230534,-105.60311357579252,"  229,528.28","  175,370.22889901",Bailey,5750,28,https://webmap.onxmaps.com/hunt/map#9.45/39.5108156152305/-105.603113575793
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1675,14,1647,1704,780,31,723,842,0.47,9850,441,9022,10753,0.63,0.54,  841.63364,  391.6577687859,47%,39.31583259260264,-105.03814997986343,"  538,645.53","  250,660.97202300",Bailey,5750,28,https://webmap.onxmaps.com/hunt/map#9.45/39.3158325926026/-105.038149979863
391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1675,14,1647,1704,780,31,723,842,0.47,9850,441,9022,10753,0.63,0.54,  469.11976,    0.0000000000,0%,39.646451005006845,-105.12047734364964,"  300,236.65",        0.00000000,Bailey,5750,28,https://webmap.onxmaps.com/hunt/map#9.45/39.6464510050068/-105.12047734365
461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1675,14,1647,1704,780,31,723,842,0.47,9850,441,9022,10753,0.63,0.54,  241.02981,   16.9736622925,7%,39.47130746684391,-105.25538844112748,"  154,259.08","   10,863.14386722",Bailey,5750,28,https://webmap.onxmaps.com/hunt/map#9.45/39.4713074668439/-105.255388441127
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,368,5,359,377,263,10,245,283,0.71,1897,78,1750,2056,0.83,0.64,"1,229.33201",  717.1761788321,58%,38.95119359203802,-108.8091562354425,"  786,772.49","  458,992.75445252",Glade Park,4070,33,https://webmap.onxmaps.com/hunt/map#9.45/38.951193592038/-108.809156235443
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1747,19,1710,1784,877,32,817,941,0.5,9116,214,8706,9546,0.69,0.56,"1,503.20646","1,278.5843430672",85%,38.407368056951405,-108.51503628336452,"  962,052.14","  818,293.97956301",Uncompahgre,12850,38,https://webmap.onxmaps.com/hunt/map#9.45/38.4073680569514/-108.515036283365
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1747,19,1710,1784,877,32,817,941,0.5,9116,214,8706,9546,0.69,0.56,"2,252.87403","1,569.5446071939",70%,38.53642636979747,-108.21759216987664,"1,441,839.38","1,004,508.54860411",Uncompahgre,12850,38,https://webmap.onxmaps.com/hunt/map#9.45/38.5364263697975/-108.217592169877
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,862,9,844,880,607,15,579,636,0.7,3944,111,3733,4167,0.84,0.61,  653.57236,  502.4070443670,77%,38.80692865630043,-107.42091057473463,"  418,286.31","  321,540.50839487",North Fork Gunnison River,8140,35,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,862,9,844,880,607,15,579,636,0.7,3944,111,3733,4167,0.84,0.61,  605.57553,  298.6179034551,49%,38.62453940161764,-107.61512352326248,"  387,568.34","  191,115.45821125",North Fork Gunnison River,8140,35,https://webmap.onxmaps.com/hunt/map#9.45/38.6245394016176/-107.615123523262
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,268,5,259,278,105,7,92,120,0.39,1248,44,1165,1337,0.96,0.56,  388.38777,  324.2480413285,83%,38.49077774149176,-108.96862146303388,"  248,568.17","  207,518.74645025",La Sal,1930,37,https://webmap.onxmaps.com/hunt/map#9.45/38.4907777414918/-108.968621463034
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2927,0,2927,2927,1579,44,1496,1668,0.54,14294,224,13862,14739,0.56,0.56,"2,438.29856","1,646.2114545279",68%,38.06205432593087,-108.4681734858138,"1,560,511.08","1,053,575.33089785",Groundhog,22570,33,https://webmap.onxmaps.com/hunt/map#9.45/38.0620543259309/-108.468173485814
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2927,0,2927,2927,1579,44,1496,1668,0.54,14294,224,13862,14739,0.56,0.56,  831.90302,  704.5686479596,85%,37.68912560055293,-108.1686524310337,"  532,417.93","  450,923.93469417",Groundhog,22570,33,https://webmap.onxmaps.com/hunt/map#9.45/37.6891256005529/-108.168652431034
711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2927,0,2927,2927,1579,44,1496,1668,0.54,14294,224,13862,14739,0.56,0.56,"1,312.59142",  805.8828106338,61%,37.76272237393551,-108.68985424947326,"  840,058.51","  515,764.99880560",Groundhog,22570,33,https://webmap.onxmaps.com/hunt/map#9.45/37.7627223739355/-108.689854249473
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,686,0,686,686,397,14,371,424,0.58,3576,107,3373,3791,0.63,0.59,  973.05698,  831.3987734000,85%,38.010223347673545,-106.4544830480559,"  622,756.46","  532,095.21497598",Saguache,5200,25,https://webmap.onxmaps.com/hunt/map#9.45/38.0102233476735/-106.454483048056
681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,686,0,686,686,397,14,371,424,0.58,3576,107,3373,3791,0.63,0.59,  721.06105,  634.2812323582,88%,38.23185870018895,-106.21522653779576,"  461,479.07","  405,939.98870924",Saguache,5200,25,https://webmap.onxmaps.com/hunt/map#9.45/38.231858700189/-106.215226537796
682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,686,0,686,686,397,14,371,424,0.58,3576,107,3373,3791,0.63,0.59,  410.71777,   36.9631606773,9%,37.9753942379813,-106.01969068648071,"  262,859.37","   23,656.42283345",Saguache,5200,25,https://webmap.onxmaps.com/hunt/map#9.45/37.9753942379813/-106.019690686481
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1999,30,1941,2059,565,30,509,628,0.28,12202,602,11078,13440,0.57,0.56,  752.78734,  175.7646361545,23%,39.9999215575948,-105.31387188327668,"  481,783.90","  112,489.36713885",Boulder,6260,44,https://webmap.onxmaps.com/hunt/map#9.45/39.9999215575948/-105.313871883277
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1999,30,1941,2059,565,30,509,628,0.28,12202,602,11078,13440,0.57,0.56,  774.01831,  236.8558348678,31%,39.82568147662041,-105.36350087351084,"  495,371.72","  151,587.73431542",Boulder,6260,44,https://webmap.onxmaps.com/hunt/map#9.45/39.8256814766204/-105.363500873511
122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,"1,620.29459",    0.0000000000,0%,38.64043436816621,-102.40206823412409,"1,036,988.54",        0.00000000,Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/38.6404343681662/-102.402068234124
125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,  925.92322,  117.8626393664,13%,38.1854357880318,-103.41612620445052,"  592,590.86","   75,432.08919449",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/38.1854357880318/-103.416126204451
126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,"1,096.69464",   51.4530999767,5%,38.28239961457108,-102.9450573215964,"  701,884.57","   32,929.98398511",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/38.2823996145711/-102.945057321596
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,"1,553.76393",   54.9661749792,4%,38.27152496739178,-102.36734004526636,"  994,408.91","   35,178.35198671",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/38.2715249673918/-102.367340045266
130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,  778.50278,   62.6827001961,8%,37.85291846877794,-103.32640631022493,"  498,241.78","   40,116.92812548",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/37.8529184687779/-103.326406310225
132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,"1,310.56945",   12.7992352177,1%,37.890787821185306,-102.33405472848897,"  838,764.45","    8,191.51053932",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/37.8907878211853/-102.334054728489
137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,  918.24002,   83.1656394696,9%,37.45000859320783,-103.13012193784876,"  587,673.61","   53,226.00926053",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/37.4500085932078/-103.130121937849
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,  496.39753,    0.8072326073,0%,37.52478517090192,-102.78221259484,"  317,694.42",      516.62886870,Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/37.5247851709019/-102.78221259484
139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,"1,908.05399",   69.3396195420,4%,37.424713360824114,-102.33311217156508,"1,221,154.55","   44,377.35650686",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/37.4247133608241/-102.333112171565
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2138,17,2105,2138,704,23,659,751,0.33,11174,452,10322,12096,0.79,0.57,"1,498.55714",   30.4901160872,2%,37.87119441250279,-102.89096637732196,"  959,076.57","   19,513.67429580",Arkansas River,7310,28,https://webmap.onxmaps.com/hunt/map#9.45/37.8711944125028/-102.890966377322
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1758,0,1758,1758,983,39,910,1061,0.56,7586,254,7105,8100,0.52,0.51,"1,549.17085",  449.6257041489,29%,37.3621385557631,-108.8709270808574,"  991,469.35","  287,760.45065531",Mesa Verde,9400,33,https://webmap.onxmaps.com/hunt/map#9.45/37.3621385557631/-108.870927080857
